Date,Description,Category,Amount
2026-11-01,Cedar Apartments,Rent,2150.00
2026-11-03,Fresh Basket Market,Groceries,54.95
2026-11-04,Maple Cafe,Dining out,20.84
2026-11-05,Bay Power & Light,Utilities,96.40
2026-11-06,ConnectNet,Utilities,65.00
2026-11-07,Fresh Basket Market,Groceries,132.07
2026-11-08,Bistro Nord,Dining out,36.73
2026-11-09,SQ *KLMN SVCS,Uncategorized,38.75
2026-11-11,Fresh Basket Market,Groceries,126.97
2026-11-12,Metro Transit,Transportation,84.00
2026-11-13,Fresh Basket Market,Groceries,118.67
2026-11-14,Fresh Basket Market,Groceries,41.16
2026-11-15,StreamBox,Subscriptions,15.99
2026-11-17,Fresh Basket Market,Groceries,115.80
2026-11-17,PYMT 55201 NBX,Uncategorized,120.00
2026-11-18,Bistro Nord,Dining out,37.81
2026-11-18,Fresh Basket Market,Groceries,64.89
2026-11-18,Fresh Basket Market,Groceries,139.02
2026-11-19,Oakview Grocers,Groceries,127.47
2026-11-20,FitLife Gym,Health,42.00
2026-11-20,Luna Taqueria,Dining out,49.45
2026-11-22,TST* WNDRLY,Uncategorized,27.30
2026-11-24,Luna Taqueria,Dining out,35.67
2026-11-24,Slice House,Dining out,16.54
2026-11-24,Slice House,Dining out,17.96
