Date,Description,Category,Amount
2026-10-01,Cedar Apartments,Rent,2150.00
2026-10-02,Green Valley Foods,Groceries,87.00
2026-10-03,Slice House,Dining out,51.30
2026-10-04,Fresh Basket Market,Groceries,54.09
2026-10-05,Bay Power & Light,Utilities,96.40
2026-10-06,ConnectNet,Utilities,65.00
2026-10-06,Fresh Basket Market,Groceries,101.57
2026-10-07,Luna Taqueria,Dining out,28.51
2026-10-07,Maple Cafe,Dining out,56.07
2026-10-08,Fresh Basket Market,Groceries,146.07
2026-10-09,Slice House,Dining out,60.68
2026-10-12,Metro Transit,Transportation,84.00
2026-10-13,Fresh Basket Market,Groceries,60.59
2026-10-14,Luna Taqueria,Dining out,29.43
2026-10-15,StreamBox,Subscriptions,15.99
2026-10-17,Green Valley Foods,Groceries,107.36
2026-10-20,FitLife Gym,Health,42.00
2026-10-20,Green Valley Foods,Groceries,97.09
2026-10-23,Oakview Grocers,Groceries,142.50
2026-10-24,Oakview Grocers,Groceries,45.73
2026-10-26,Luna Taqueria,Dining out,62.17
2026-10-26,Maple Cafe,Dining out,21.84
